Drive,Car Model,Rnaking,Race_time,Year,Location
Mikel Azcona,Cupra Tcr,1,12 LAP,2020,Europe
Tom Coronel,Honda Civic Type r Fk7 Tcr,2,(+4.293),2020,Europe
John Filippi,Hyundai 130 n Tcr,3,(+5.034),2020,Europe
Teddy Clairet,Peugeot 308 Tcr,4,(+6.276),2020,Europe
Nicolas Baert,Audi Rs3 Lms,5,(+14.203),2020,Europe
Daniel Nagy,Hyundai 130 N,6,(+18.157),2020,Europe
Andreas B?kman,Hyundai 130 N,7,(+22.274),2020,Europe
Evgenii Leonov,Cupra Leon Competicion ,8,(+22.940),2020,Europe
Mike Halder,Cupra ,9,(+25.263),2020,Europe
Mehdi Bennani,Honda Civic Type R FK7 ,10,(+27.526),2020,Europe
,,,,,
Mikel Azcona,Cupra Leon Competicion ,1,10 LAP,2021,Europe
Mehdi Bennani,Hyundai Elantra N ,2,(+2.605),2021,Europe
Felice Jelmini,Hyundai Elantra N ,3,(+4.977),2021,Europe
Sami Taoufik,Hyundai Elantra N ,4,(+5.918),2021,Europe
Franco Girolami,Honda Civic Type R FK7 ,5,(+14.243),2021,Europe
Nicolas Baert,Audi RS3 LMS,6,(+14.48),2021,Europe
Teddy Claret,Peugeot 308 ,7,(+15.747),2021,Europe
Niels Langeveld,Hyundai Elantra N ,8,(+15.792),2021,Europe
Isidro Callejas,Honda Civic Type R FK7 ,9,(+19.963),2021,Europe
Tom Coronel,Audi RS3 LMS,10,(+20.618),2021,Europe
,,,,,
C. Smiley,Honda Civic Type R FK7,1,15 LAP,2022,UK
M. Hart,Hyundai 130 N,2,(+1.526),2022,UK
I. Smith,Volkswagen Golf GTI,3,(+4.654),2022,UK
B. Winfield,Cupra ,4,(+7.316),2022,UK
L. Kent,HyundaiI Veloster N,5,(+8.848),2022,UK
J. Constable,Cupra ,6,(+9.121),2022,UK
C. Newsham,Cupra ,7,(+12.032),2022,UK
J.Depper,Volkswagen Golf GTI,8,(+32.864),2022,UK
J. Hawkins,Cupra ,9,(+35.876),2022,UK
J. Tonks,Cupra TCR DSG,10,(+36.972),2022,UK
,,,,,
Lo Sze,Hyundai Elantra n Tcr,1,9 LAP,2023,Asia
Yan Chuang,Lynk & Co 03 Tcr,2,(+1.132),2023,Asia
Chan Weng Tong,Audi Rs3 Lms,3,(+5.105),2023,Asia
Hu Heng,Audi Rs3 Lms,4,(+5.653),2023,Asia
Li Ka Hei,Audi Rs3 Lms,5,(+5.785),2023,Asia
Cheong Chi On,Seat Cupra Tcr,6,(+10.161),2023,Asia
Tang Chi Lun,Honda Civic Fk7,7,(+12.172),2023,Asia
Lam Ka Chun,Audi Rs3 Lms,8,(+13.563),2023,Asia
Wong Kiang Kuan,Seat Cupra Tcr,9,(+14.726),2023,Asia
Li Wengji,Hyundai 130 N,10,(+15.282),2023,Asia
,,,,,
Nicolas Taylor,Audi Rs3 Lms,1,17 LAP,2024,Italy
Nicola Baldan,Audi Rs3 Lms,2,(+1.103),2024,Italy
Junesung Park,Hyundai Elantra n,3,(+1.493),2024,Italy
Ruben Volt,Honda Civic Fl5,4,(+1.953),2024,Italy
Levente Losonczy,Honda Civic Fl5,5,(+2.891),2024,Italy
Cosimo Barberini,Cupra Leon Vz,6,(+6.374),2024,Italy
Luigi Fazzino,Audi Rs3 Lms,7,(+6.772),2024,Italy
Gabriele Covini,Hyundai Elantra n,8,(+7.869),2024,Italy
Michele Imberti,Hyundai Elantra n,9,(+8.589),2024,Italy
Salvatore Tavano,Cupra Leon Vz,10,(+9.302),2024,Italy
,,,,,
Nicolas Taylor,Audi RS 3 LMS,1,17 LAP,2025,Italy
Nicola Baldan,Audi RS 3 LMS,2,(+0.800),2025,Italy
Alex Ley,Hyundai Elantra N TCR,3,(+9.071),2025,Italy
Pietro Alessi,Audi RS 3 LMS,4,(+10.502),2025,Italy
Matteo Poloni,Audi RS 3 LMS,5,(+17.435),2025,Italy
Denis Babuin,Audi RS 3 LMS,6,(+17.768),2025,Italy
Filippo Barberi,Audi RS 3 LMS,7,(+23.394),2025,Italy
Damiano Reduzzi,Hyundai Elantra N TCR,8,(+25.582),2025,Italy
Filippo Maria Zanin,Audi RS 3 LMS,9,(+26.747),2025,Italy
Carlo Alberto Bocca,Audi RS 3 LMS,10,(+28.246),2025,Italy
