Car Model,Horsepower,Top speed,Year
Koenigsegg Jesko Absolut,1600,310mph/500kph,2025
Bugatti Chiron Super Sport 300+,1578,300mph/489kph,2025
SSC Tuatara,1350,283 mph / 455 kph,2025
Hennessey Venom F5,1813,186mph/300kph,2025
Rimac Nevera,"1,914 hp (electric)",258 mph / 415 kph,2025
McLaren Speedtail,1035,250 mph / 403 kph,2025
Koenigsegg Regera,1500,255 mph / 410 kph,2025
Aston Martin Valkyrie,1160,250 mph / 402 kph,2025
Pagani Huayra BC Roadster,791,238 mph / 383 kph,2025
Lamborghini Revuelto,827,221 mph / 355 kph,2025
Koenigsegg Jesko Absolut,1600,310 mph / 500 kph,2024
Hennessey Venom F5,1817,301 mph / 484 kph,2024
Bugatti Chiron Super Sport 300+,1578,304 mph / 489 kph,2024
SSC Tuatara,1350,283 mph / 455 kph,2024
Pininfarina Battista,1900(electric),217 mph / 350 kph,2024
Aston Martin Valkyrie,1160,250 mph / 402 kph,2024
McLaren Sabre,835,211 mph / 340 kph,2024
Lamborghini Sián FKP 37,819,217 mph / 350 kph,2024
Ferrari SF90 Stradale,981,211 mph / 340 kph,2024
Pagani Huayra Roadster BC,791,238 mph / 383 kph,2024
Ford Mustang GT500,760,180 mph / 290 kph,2023
Porsche 911 Carrera S,443,191 mph / 308 kph,2023
Porsche 718 GT4/4.0,414,189 mph / 304 kph,2023
Jaguar F-Type R,575,186 mph / 299 kph,2023
Lotus Emira,406,186 mph / 299 kph,2023
Chevrolet Camaro SS,455,165 mph / 266 kph,2023
BMW M2,453,174 mph / 280 kph,2023
BMW M4 Competition,503,180 mph / 290 kph,2023
Toyota GR Supra,382,155 mph / 250 kph,2023
Nissan Z,400,155 mph / 250 kph,2023
